11/24/2019 9:48:30 PM: Home/Init starts...
11/24/2019 9:48:33 PM: api/Word/Get starts...
11/24/2019 9:48:40 PM: api/Word/Get starts...
11/24/2019 9:48:51 PM: api/Word/Get starts...
11/24/2019 9:48:55 PM: api/Word/Get starts...
11/24/2019 9:48:57 PM: api/Word/Get starts...
11/24/2019 9:48:59 PM: api/Word/Get starts...
11/24/2019 9:49:03 PM: api/Word/Get starts...
11/24/2019 9:49:05 PM: api/Word/Get starts...
11/24/2019 9:49:07 PM: api/Word/Get starts...
11/24/2019 9:49:12 PM: api/Word/Get starts...
11/24/2019 9:49:13 PM: api/Word/Get starts...
11/24/2019 9:49:15 PM: api/Word/Get starts...
11/24/2019 9:52:37 PM: @@@@====MAIN====@@@@
11/24/2019 9:52:37 PM: Startup starts...
11/24/2019 9:52:37 PM: ConfigureServices starts...
11/24/2019 9:52:38 PM: Configure starts...
11/24/2019 9:52:38 PM: HomeController starts...
11/24/2019 9:52:38 PM: Home/Index starts...
11/24/2019 9:59:24 PM: @@@@====MAIN====@@@@
11/24/2019 9:59:24 PM: Startup starts...
11/24/2019 9:59:24 PM: ConfigureServices starts...
11/24/2019 9:59:24 PM: Configure starts...
11/24/2019 9:59:24 PM: HomeController starts...
11/24/2019 9:59:24 PM: Home/Index starts...
11/24/2019 9:59:34 PM: api/User/Post starts...
11/24/2019 9:59:35 PM: HomeController starts...
11/24/2019 9:59:35 PM: Home/Init starts...
11/24/2019 9:59:37 PM: api/Word/Get starts...
11/24/2019 10:00:31 PM: @@@@====MAIN====@@@@
11/24/2019 10:00:31 PM: Startup starts...
11/24/2019 10:00:31 PM: ConfigureServices starts...
11/24/2019 10:00:31 PM: Configure starts...
11/24/2019 10:00:31 PM: HomeController starts...
11/24/2019 10:00:31 PM: Home/Index starts...
11/24/2019 10:00:39 PM: api/User/Post starts...
11/24/2019 10:00:39 PM: HomeController starts...
11/24/2019 10:00:39 PM: Home/Init starts...
11/24/2019 10:00:41 PM: api/Word/Get starts...
11/24/2019 10:00:53 PM: api/Word/Get starts...
11/24/2019 10:03:21 PM: @@@@====MAIN====@@@@
11/24/2019 10:03:21 PM: Startup starts...
11/24/2019 10:03:21 PM: ConfigureServices starts...
11/24/2019 10:03:21 PM: Configure starts...
11/24/2019 10:03:21 PM: HomeController starts...
11/24/2019 10:03:21 PM: Home/Index starts...
11/24/2019 10:03:41 PM: HomeController starts...
11/24/2019 10:03:41 PM: Home/Index starts...
11/24/2019 10:03:55 PM: api/User/Post starts...
11/24/2019 10:03:56 PM: HomeController starts...
11/24/2019 10:03:56 PM: Home/Init starts...
11/24/2019 10:03:58 PM: api/Word/Get starts...
11/24/2019 10:05:33 PM: HomeController starts...
11/24/2019 10:05:34 PM: Home/Index starts...
11/24/2019 10:05:52 PM: api/User/Post starts...
11/24/2019 10:05:52 PM: HomeController starts...
11/24/2019 10:05:52 PM: Home/Init starts...
